Symbol,Date      ,Close ,High    ,Low    ,Open    ,Volume
MSFT  ,2017-11-29,83.34 ,84.9172 ,83.175 ,84.71   ,27381109
MSFT  ,2017-11-30,84.17 ,84.52   ,83.34  ,83.51   ,33054647
MSFT  ,2017-12-01,84.26 ,84.81   ,83.22  ,83.6    ,29532132
MSFT  ,2017-12-04,81.08 ,84.4299 ,80.7   ,84.42   ,39094880
MSFT  ,2017-12-05,81.59 ,82.68   ,80.9801,81.34   ,26152261
MSFT  ,2017-12-06,82.78 ,83.14   ,81.43  ,81.55   ,26162054
MSFT  ,2017-12-07,82.49 ,82.8    ,82.0   ,82.54   ,23184547
MSFT  ,2017-12-08,84.16 ,84.58   ,83.33  ,83.63   ,24489106
MSFT  ,2017-12-11,85.23 ,85.37   ,84.12  ,84.29   ,22857854
MSFT  ,2017-12-12,85.58 ,86.05   ,85.08  ,85.31   ,23924105
MSFT  ,2017-12-13,85.35 ,86.0    ,85.17  ,85.74   ,22062679
MSFT  ,2017-12-14,84.69 ,85.8739 ,84.53  ,85.43   ,19305961
MSFT  ,2017-12-15,86.85 ,87.09   ,84.88  ,85.26   ,53936687
MSFT  ,2017-12-18,86.38 ,87.4999 ,86.23  ,87.12   ,22283752
MSFT  ,2017-12-19,85.83 ,86.35   ,85.27  ,86.35   ,23524787
MSFT  ,2017-12-20,85.52 ,86.3    ,84.71  ,86.2    ,23674931
MSFT  ,2017-12-21,85.5  ,86.1    ,85.4   ,86.05   ,17990745
MSFT  ,2017-12-22,85.51 ,85.63   ,84.92  ,85.4    ,14145841
MSFT  ,2017-12-25,85.51 ,85.51   ,85.51  ,85.51   ,0
MSFT  ,2017-12-26,85.4  ,85.5346 ,85.03  ,85.31   ,9891237
MSFT  ,2017-12-27,85.71 ,85.98   ,85.215 ,85.65   ,14678025
MSFT  ,2017-12-28,85.72 ,85.93   ,85.55  ,85.9    ,10594344
MSFT  ,2017-12-29,85.54 ,86.05   ,85.5   ,85.63   ,18717406
MSFT  ,2018-01-01,85.54 ,85.54   ,85.54  ,85.54   ,0
MSFT  ,2018-01-02,85.95 ,86.31   ,85.5   ,86.125  ,22483797
MSFT  ,2018-01-03,86.35 ,86.51   ,85.97  ,86.055  ,26061439
MSFT  ,2018-01-04,87.11 ,87.66   ,86.57  ,86.59   ,21911974
MSFT  ,2018-01-05,88.19 ,88.41   ,87.43  ,87.66   ,23407110
MSFT  ,2018-01-08,88.28 ,88.58   ,87.6046,88.2    ,22113049
MSFT  ,2018-01-09,88.22 ,88.7272 ,87.86  ,88.65   ,19484317
MSFT  ,2018-01-10,87.82 ,88.19   ,87.41  ,87.86   ,18652201
MSFT  ,2018-01-11,88.08 ,88.13   ,87.24  ,88.13   ,17808877
MSFT  ,2018-01-12,89.6  ,89.78   ,88.45  ,88.67   ,24271531
MSFT  ,2018-01-15,89.6  ,89.6    ,89.6   ,89.6    ,0
MSFT  ,2018-01-16,88.35 ,90.79   ,88.0104,90.1    ,36599736
MSFT  ,2018-01-17,90.14 ,90.28   ,88.75  ,89.08   ,25621164
MSFT  ,2018-01-18,90.1  ,90.67   ,89.66  ,89.8    ,24159683
MSFT  ,2018-01-19,90.0  ,90.61   ,89.66  ,90.14   ,36875013
MSFT  ,2018-01-22,91.61 ,91.62   ,89.74  ,90.0    ,23601555
MSFT  ,2018-01-23,91.9  ,92.3    ,91.54  ,91.9    ,23412841
MSFT  ,2018-01-24,91.82 ,93.43   ,91.58  ,92.55   ,33277482
MSFT  ,2018-01-25,92.33 ,93.24   ,91.93  ,92.465  ,26383238
MSFT  ,2018-01-26,94.06 ,94.06   ,92.58  ,93.12   ,29172167
MSFT  ,2018-01-29,93.92 ,95.45   ,93.72  ,95.14   ,31569940
MSFT  ,2018-01-30,92.74 ,93.66   ,92.1   ,93.3    ,38635053
MSFT  ,2018-01-31,95.01 ,95.4    ,93.51  ,93.75   ,48756338
MSFT  ,2018-02-01,94.26 ,96.07   ,93.5813,94.79   ,47227882
MSFT  ,2018-02-02,91.78 ,93.97   ,91.5   ,93.64   ,47867753
MSFT  ,2018-02-05,88.0  ,93.24   ,88.0   ,90.56   ,51031465
MSFT  ,2018-02-06,91.33 ,91.475  ,85.25  ,86.89   ,67998564
MSFT  ,2018-02-07,89.61 ,91.77   ,89.2   ,90.49   ,41107592
MSFT  ,2018-02-08,85.01 ,89.875  ,84.76  ,89.71   ,55628657
MSFT  ,2018-02-09,88.18 ,88.93   ,83.83  ,86.3    ,63499065
MSFT  ,2018-02-12,89.13 ,89.78   ,87.9295,88.735  ,35720341
MSFT  ,2018-02-13,89.83 ,90.0    ,87.8   ,88.93   ,26407702
MSFT  ,2018-02-14,90.81 ,90.99   ,88.41  ,88.51   ,34960912
MSFT  ,2018-02-15,92.66 ,92.72   ,90.62  ,91.21   ,27823866
MSFT  ,2018-02-16,92.0  ,93.5    ,91.8   ,92.45   ,30596919
MSFT  ,2018-02-19,92.0  ,92.0    ,92.0   ,92.0    ,0
MSFT  ,2018-02-20,92.72 ,93.06   ,91.01  ,91.475  ,30911725
MSFT  ,2018-02-21,91.49 ,93.3595 ,91.49  ,92.98   ,26922503
MSFT  ,2018-02-22,91.73 ,92.73   ,91.36  ,92.05   ,24392753
MSFT  ,2018-02-23,94.06 ,94.07   ,92.36  ,92.75   ,26329226
MSFT  ,2018-02-26,95.42 ,95.45   ,94.25  ,94.4    ,30199846
MSFT  ,2018-02-27,94.2  ,95.84   ,94.2   ,95.74   ,25869119
MSFT  ,2018-02-28,93.77 ,95.705  ,93.63  ,94.84   ,31167338
MSFT  ,2018-03-01,92.85 ,94.57   ,91.84  ,93.99   ,37135561
MSFT  ,2018-03-02,93.05 ,93.15   ,90.86  ,91.58   ,32830388
MSFT  ,2018-03-05,93.64 ,94.27   ,92.26  ,92.34   ,23901578
MSFT  ,2018-03-06,93.32 ,94.49   ,92.941 ,94.34   ,22175776
MSFT  ,2018-03-07,93.86 ,93.9406 ,92.43  ,93.16   ,26716127
MSFT  ,2018-03-08,94.43 ,95.1    ,93.765 ,94.27   ,25887828
MSFT  ,2018-03-09,96.54 ,96.54   ,95.0   ,95.29   ,36937254
MSFT  ,2018-03-12,96.77 ,97.21   ,96.04  ,96.5    ,26073742
MSFT  ,2018-03-13,94.41 ,97.24   ,93.97  ,97.0    ,35387817
MSFT  ,2018-03-14,93.85 ,95.41   ,93.5   ,95.12   ,32131981
MSFT  ,2018-03-15,94.18 ,94.58   ,92.83  ,93.53   ,27610998
